Time: 15-Jan-17 15:02:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:25; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:43; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:45; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:47; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 17-Jan-17 17:55:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 17:56:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 17:56:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 17:56:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 80
Time: 17-Jan-17 17:56:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 17:57:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 17:57:24; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 95.1056516295154; Low: 0; High: 80
Time: 17-Jan-17 17:57:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 97.8147600733806; Low: 0; High: 80
Time: 17-Jan-17 17:58:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 17:59:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:01:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:01:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:01:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:01:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:01:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:02:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:02:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:02:25; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 96.5925826289068; Low: 0; High: 80
Time: 17-Jan-17 18:02:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:02:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:02:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 80
Time: 17-Jan-17 18:02:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:02:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:02:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:02:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:02:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 96.5925826289068; Low: 0; High: 80
Time: 17-Jan-17 18:02:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 91.3545457642601; Low: 0; High: 80
Time: 17-Jan-17 18:02:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 18:02:42; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 80.9016994374947; Low: 0; High: 80
Time: 17-Jan-17 18:03:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:03:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:03:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:03:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 97.8147600733806; Low: 0; High: 80
Time: 17-Jan-17 18:03:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 100; Low: 0; High: 99
Time: 17-Jan-17 18:03:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 100; Low: 0; High: 99
Time: 17-Jan-17 18:03:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 100; Low: 0; High: 80
Time: 17-Jan-17 18:03:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:03:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:03:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:04:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:04:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 91.3545457642601; Low: 0; High: 80
Time: 17-Jan-17 18:04:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:05:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:05:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:05:24; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 95.1056516295154; Low: 0; High: 80
Time: 17-Jan-17 18:05:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 97.8147600733806; Low: 0; High: 80
Time: 17-Jan-17 18:05:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:05:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:05:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:05:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:05:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:05:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 80
Time: 17-Jan-17 18:05:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:06:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 18:06:22; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 91.3545457642601; Low: 0; High: 80
Time: 17-Jan-17 18:09:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 2; Tag Value: 0; Low: 0; High: 99
Time: 17-Jan-17 18:09:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 2; Tag Value: 0; Low: 0; High: 99
Time: 17-Jan-17 18:09:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 2; Tag Value: 0; Low: 0; High: 80
Time: 17-Jan-17 18:09:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 80.9016994374947; Low: 0; High: 80
Time: 17-Jan-17 18:09:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 18:09:24; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 95.1056516295154; Low: 0; High: 80
Time: 17-Jan-17 18:09:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:09:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:09:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 80
Time: 17-Jan-17 18:13:05; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 96.5925826289068; Low: -95; High: 85
Time: 17-Jan-17 18:13:05; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 96.5925826289068; Low: -95; High: 85
Time: 17-Jan-17 18:13:07; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 93.3580426497202; Low: -95; High: 85
Time: 17-Jan-17 18:13:07; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 93.3580426497202; Low: -95; High: 85
Time: 17-Jan-17 18:13:07; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 93.3580426497202; Low: -95; High: 85
Time: 17-Jan-17 18:13:09; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 89.1006524188368; Low: -95; High: 85
Time: 17-Jan-17 18:13:09; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 89.1006524188368; Low: -95; High: 85
Time: 17-Jan-17 18:13:09; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 89.1006524188368; Low: -95; High: 85
Time: 17-Jan-17 18:13:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:13:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:13:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:13:25; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 96.5925826289068; Low: 0; High: 80
Time: 17-Jan-17 18:13:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:13:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:13:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:13:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:13:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:13:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:13:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:13:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:13:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 96.5925826289068; Low: 0; High: 80
Time: 17-Jan-17 18:13:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:13:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:13:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:14:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 17-Jan-17 18:14:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 17-Jan-17 18:14:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 17-Jan-17 18:14:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:14:59; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:14:59; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:15:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:15:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:15:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:15:22; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 91.3545457642601; Low: 0; High: 80
Time: 17-Jan-17 18:15:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:15:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:15:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:15:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:15:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 18:16:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 17-Jan-17 18:16:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 17-Jan-17 18:17:42; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 80.9016994374947; Low: 0; High: 80
Time: 17-Jan-17 18:20:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 2; Tag Value: 0; Low: 0; High: 99
Time: 17-Jan-17 18:20:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 2; Tag Value: 0; Low: 0; High: 99
Time: 17-Jan-17 18:20:01; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 2; Tag Value: 0; Low: 0; High: 80
Time: 17-Jan-17 18:23:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:23:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:24:08; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 91.3545457642601; Low: -95; High: 85
Time: 17-Jan-17 18:24:08; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 91.3545457642601; Low: -95; High: 85
Time: 17-Jan-17 18:24:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 17-Jan-17 18:24:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 17-Jan-17 18:24:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 17-Jan-17 18:24:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 83.8670567945424; Low: 0; High: 80
Time: 17-Jan-17 18:24:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:24:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:24:25; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 96.5925826289068; Low: 0; High: 80
Time: 17-Jan-17 18:24:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:24:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:24:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:24:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:24:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:24:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:24:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:24:57; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -98.7688340595138; Low: -95; High: 85
Time: 17-Jan-17 18:25:00; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -98.7688340595138; Low: -95; High: 85
Time: 17-Jan-17 18:25:00; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -98.7688340595138; Low: -95; High: 85
Time: 17-Jan-17 18:25:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:25:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:25:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 17-Jan-17 18:25:05; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 96.5925826289068; Low: -95; High: 85
Time: 17-Jan-17 18:25:05; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 96.5925826289068; Low: -95; High: 85
Time: 17-Jan-17 18:25:05; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 96.5925826289068; Low: -95; High: 85
Time: 17-Jan-17 18:25:07; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 93.3580426497202; Low: -95; High: 85
Time: 17-Jan-17 18:25:07; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 93.3580426497202; Low: -95; High: 85
Time: 17-Jan-17 18:25:07; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 93.3580426497202; Low: -95; High: 85
Time: 17-Jan-17 18:25:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 17-Jan-17 18:25:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 18:25:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:26:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:26:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 98.7688340595138; Low: 0; High: 80
Time: 17-Jan-17 18:26:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:26:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:26:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:26:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:26:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:26:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 80
Time: 17-Jan-17 18:26:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 96.5925826289068; Low: 0; High: 80
Time: 17-Jan-17 18:26:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:26:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 86.6025403784439; Low: 0; High: 80
Time: 17-Jan-17 18:27:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 80.9016994374947; Low: 0; High: 80
Time: 17-Jan-17 18:27:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 89.1006524188368; Low: 0; High: 80
Time: 17-Jan-17 18:27:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 93.3580426497202; Low: 0; High: 80
Time: 17-Jan-17 18:27:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 97.8147600733806; Low: 0; High: 80
Time: 17-Jan-17 18:27:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:27:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 99
Time: 17-Jan-17 18:27:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.4521895368273; Low: 0; High: 80
Time: 17-Jan-17 18:27:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:27:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 99
Time: 17-Jan-17 18:27:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 99.8629534754574; Low: 0; High: 80
Time: 17-Jan-17 18:27:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 97.8147600733806; Low: 0; High: 80
Time: 17-Jan-17 18:27:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 91.3545457642601; Low: 0; High: 80
Time: 17-Jan-17 18:33:42; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 80.9016994374947; Low: 0; High: 80
Time: 17-Jan-17 18:34:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 80.9016994374947; Low: 0; High: 80
Time: 17-Jan-17 18:34:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 2; Tag Value: 100; Low: 0; High: 99
